t1,t2,n
Cluster 1,Cluster 1,1457
Cluster 2,Cluster 1,202
Cluster 3,Cluster 1,51
Cluster 4,Cluster 1,265
Cluster 5,Cluster 1,292
Cluster 1,Cluster 2,165
Cluster 2,Cluster 2,158
Cluster 3,Cluster 2,8
Cluster 4,Cluster 2,112
Cluster 5,Cluster 2,103
Cluster 1,Cluster 3,38
Cluster 2,Cluster 3,19
Cluster 3,Cluster 3,88
Cluster 4,Cluster 3,34
Cluster 5,Cluster 3,17
Cluster 1,Cluster 4,382
Cluster 2,Cluster 4,251
Cluster 3,Cluster 4,36
Cluster 4,Cluster 4,248
Cluster 5,Cluster 4,230
Cluster 1,Cluster 5,259
Cluster 2,Cluster 5,79
Cluster 3,Cluster 5,7
Cluster 4,Cluster 5,120
Cluster 5,Cluster 5,155
