Census_2012,essential_group
0170,2
0180,2
0190,2
0270,2
0280,2
0290,2
0370,3
0380,4
0390,4
0470,4
0490,3
0570,3
0580,3
0670,3
0680,3
0770,3
1070,2
1080,2
1090,2
1170,2
1180,2
1190,2
1270,2
1280,2
1370,2
1390,4
1470,4
1480,4
1490,4
1570,4
1590,4
1670,4
1680,4
1690,4
1770,4
1790,4
1870,2
1880,2
1890,2
1990,3
2070,2
2090,2
2170,2
2180,2
2190,2
2270,2
2280,2
2290,2
2370,2
2380,2
2390,2
2470,2
2480,2
2490,2
2570,2
2590,2
2670,2
2680,2
2690,2
2770,2
2780,2
2790,2
2870,2
2880,2
2890,2
2970,2
2980,2
2990,2
3070,2
3080,2
3095,2
3170,2
3180,2
3190,2
3290,2
3365,2
3370,2
3380,2
3390,2
3470,2
3490,2
3570,2
3580,2
3590,2
3670,2
3680,2
3690,2
3770,2
3780,2
3790,2
3875,2
3895,4
3960,2
3970,2
3980,2
4070,3
4080,3
4090,3
4170,3
4180,3
4195,3
4265,3
4270,3
4280,3
4290,3
4370,3
4380,3
4390,3
4470,3
4480,3
4490,3
4560,3
4570,3
4580,3
4585,4
4670,3
4680,3
4690,3
4770,4
4780,3
4795,3
4870,3
4880,3
4890,2
4970,2
4980,2
4990,2
5070,1
5080,3
5090,3
5170,4
5180,4
5190,4
5275,4
5280,4
5295,4
5370,3
5380,3
5390,2
5470,4
5480,4
5490,4
5570,4
5580,4
5590,3
5591,3
5592,3
5670,4
5680,3
5690,4
6070,3
6080,3
6090,3
6170,3
6180,2
6190,3
6270,3
6280,4
6290,3
6370,2
6380,3
6390,3
6470,3
6480,4
6490,3
6570,4
6590,4
6670,3
6672,3
6680,3
6690,3
6695,3
6770,3
6780,3
6870,3
6880,3
6890,3
6970,3
6990,3
7070,4
7080,3
7170,4
7180,4
7190,3
7270,3
7280,3
7290,3
7370,3
7380,3
7390,4
7460,3
7470,4
7480,2
7490,4
7570,3
7580,4
7590,4
7670,4
7680,3
7690,3
7770,3
7780,4
7790,3
7860,2
7870,2
7880,2
7890,4
7970,1
7980,1
7990,1
8070,1
8080,1
8090,1
8170,1
8180,1
8190,1
8270,1
8290,1
8370,1
8380,3
8390,2
8470,2
8560,4
8570,4
8580,3
8590,3
8660,4
8670,4
8680,3
8690,4
8770,3
8780,3
8790,3
8870,2
8880,4
8890,4
8970,4
8980,4
8990,4
9070,3
9080,1
9090,4
9160,3
9170,4
9180,4
9190,4
9290,3
9370,3
9380,3
9390,3
9470,2
9480,3
9490,3
9570,3
9590,3
9670,3
9680,3
9690,3
9770,3
9780,3
9790,3
9870,3
